order_id,product_id,product_name,category,price,date,total,month
10001,93,Steamed Red Bean Rick Cake,Desserts,70,2023-01-01,400,2023-01
10001,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,400,2023-01
10001,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,400,2023-01
10002,31,Shredded Pork Fried Rice,Fried Rice,190,2023-01-01,750,2023-01
10002,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,750,2023-01
10002,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,750,2023-01
10003,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,1020,2023-01
10003,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,1020,2023-01
10003,31,Shredded Pork Fried Rice,Fried Rice,190,2023-01-01,1020,2023-01
10003,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,1020,2023-01
10004,74,Steamed Fish Dumplings,Dumplings & Shao Mai,250,2023-01-01,780,2023-01
10004,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,780,2023-01
10004,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,780,2023-01
10005,74,Steamed Fish Dumplings,Dumplings & Shao Mai,250,2023-01-01,1000,2023-01
10005,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,1000,2023-01
10005,92,Steamed Chinese Style Layer Cake,Desserts,70,2023-01-01,1000,2023-01
10005,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,1000,2023-01
10005,665,Green Squash and Shrimp Xiaolongbao,Xiaolongbao,340,2023-01-01,1000,2023-01
10006,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,850,2023-01
10006,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,850,2023-01
10006,66,Pork Xiaolongbao,Xiaolongbao,220,2023-01-01,850,2023-01
10006,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,850,2023-01
10007,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,900,2023-01
10007,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,900,2023-01
10007,93,Steamed Red Bean Rick Cake,Desserts,70,2023-01-01,900,2023-01
10007,93,Steamed Red Bean Rick Cake,Desserts,70,2023-01-01,900,2023-01
10007,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,900,2023-01
10008,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,340,2023-01
10008,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,340,2023-01
10009,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,610,2023-01
10009,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,610,2023-01
10009,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,610,2023-01
10010,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,390,2023-01
10010,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,390,2023-01
10010,31,Shredded Pork Fried Rice,Fried Rice,190,2023-01-01,390,2023-01
10011,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,1000,2023-01
10011,71,Steamed Vegetable and Ground Pork Dumplings,Dumplings & Shao Mai,220,2023-01-01,1000,2023-01
10011,71,Steamed Vegetable and Ground Pork Dumplings,Dumplings & Shao Mai,220,2023-01-01,1000,2023-01
10011,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,1000,2023-01
10011,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,1000,2023-01
10012,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,710,2023-01
10012,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,710,2023-01
10012,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,710,2023-01
10012,82,Vegetable and Ground Pork Buns,Buns,90,2023-01-01,710,2023-01
10013,82,Vegetable and Ground Pork Buns,Buns,90,2023-01-01,310,2023-01
10013,71,Steamed Vegetable and Ground Pork Dumplings,Dumplings & Shao Mai,220,2023-01-01,310,2023-01
10014,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,540,2023-01
10014,72,Steamed Shrimp and Pork Dumplings,Dumplings & Shao Mai,270,2023-01-01,540,2023-01
10015,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,480,2023-01
10015,71,Steamed Vegetable and Ground Pork Dumplings,Dumplings & Shao Mai,220,2023-01-01,480,2023-01
10015,93,Steamed Red Bean Rick Cake,Desserts,70,2023-01-01,480,2023-01
10015,83,Pork Buns,Buns,90,2023-01-01,480,2023-01
10016,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,360,2023-01
10016,93,Steamed Red Bean Rick Cake,Desserts,70,2023-01-01,360,2023-01
10017,67,Crab Roe and Pork Xiaolongbao,Xiaolongbao,370,2023-01-01,1410,2023-01
10017,71,Steamed Vegetable and Ground Pork Dumplings,Dumplings & Shao Mai,220,2023-01-01,1410,2023-01
10017,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,1410,2023-01
10017,665,Green Squash and Shrimp Xiaolongbao,Xiaolongbao,340,2023-01-01,1410,2023-01
10017,73,Steamed Vegetarian Mushroom Dumplings,Dumplings & Shao Mai,250,2023-01-01,1410,2023-01
10018,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,330,2023-01
10018,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,330,2023-01
10019,66,Pork Xiaolongbao,Xiaolongbao,220,2023-01-01,610,2023-01
10019,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,610,2023-01
10019,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,610,2023-01
10020,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,580,2023-01
10020,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,580,2023-01
10020,74,Steamed Fish Dumplings,Dumplings & Shao Mai,250,2023-01-01,580,2023-01
10021,84,Vegetarian Mushroom Buns,Buns,100,2023-01-01,1100,2023-01
10021,66,Pork Xiaolongbao,Xiaolongbao,220,2023-01-01,1100,2023-01
10021,30,Shrimp Fried Rice,Fried Rice,240,2023-01-01,1100,2023-01
10021,74,Steamed Fish Dumplings,Dumplings & Shao Mai,250,2023-01-01,1100,2023-01
10021,29,Shrimp and Shredded Pork Fried Rice,Fried Rice,290,2023-01-01,1100,2023-01
10022,677,Chicken Xiaolongbao,Xiaolongbao,230,2023-01-01,890,2023-01
10022,92,Steamed Chinese Style Layer Cake,Desserts,70,2023-01-01,890,2023-01
10022,67,Crab Roe and Pork Xiaolongbao,Xiaolongbao,370,2023-01-01,890,2023-01
10022,66,Pork Xiaolongbao,Xiaolongbao,220,2023-01-01,890,2023-01
10023,97,Steamed Red Bean Rice Cake with Walnuts,Desserts,100,2023-01-01,510,2023-01
